first_author,year,social_media_platforms,weeks,control_type,sample_id,construct,measure,control_n,control_mean_pre,control_sd_pre,control_mean_post,control_sd_post,reduction_n,reduction_mean_pre,reduction_sd_pre,reduction_mean_post,reduction_sd_post,note,link
Mahalingham,2023,"facebook, instagram, snapchat, and twitter,",2,treatment as usual,1,anxiety,DASS - Anxiety sub-scale,49,5.650,4.190,5.120,4.290,44.000,6.210,5.030,5.210,4.530,,https://doi.org/10.1016/j.jbtep.2022.101791
Kleefeld,2021,"facebook, instagram, linkedin, pinterest, snapchat, twitter, whatsapp, tiktok",2,treatment as usual,2,anxiety,GAD-7,27,7.700,4.870,8.182,4.870,23.000,7.960,5.320,7.383,5.320,"is this even an RCT? Also, post-SD missing: post SDs approximated from pre-test",https://www.proquest.com/docview/2570123511?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
Lambert,2022,"facebook, twitter, instagram, tiktok",1,treatment as usual,3,anxiety,GAD-7,66,6.920,5.000,5.940,4.300,74.000,5.950,4.320,3.880,3.840,,https://www.liebertpub.com/doi/abs/10.1089/cyber.2021.0324
Faulhaber,2023,subject's top 3 most used platforms,2,treatment as usual,7,anxiety,STAI,131,42.000,11.446,43.400,11.446,99.000,40.900,9.950,37.400,9.950,SEs converted to SDs,https://www.proquest.com/docview/2624899279?fromopenview=true&pq-origsite=gscholar&sourcetype=Dissertations%20&%20Theses
Hunt,2018,"facebook, instagram, snapchat",1,treatment as usual,8,anxiety,STAI-S (state anxiety subscale),54,42.500,14.130,42.741,13.887,78.000,39.974,10.839,39.731,11.443,computed from raw data,https://www.researchgate.net/profile/Jordyn-Young/publication/328838624_No_More_FOMO_Limiting_Social_Media_Decreases_Loneliness_and_Depression/links/5be5a5cb299bf1124fc63279/No-More-FOMO-Limiting-Social-Media-Decreases-Loneliness-and-Depression.pdf
Hunt,2018,"facebook, instagram, snapchat",2,treatment as usual,8,anxiety,STAI-S (state anxiety subscale),51,42.373,14.315,41.882,14.164,72.000,40.361,10.336,38.639,11.899,computed from raw data,https://www.researchgate.net/profile/Jordyn-Young/publication/328838624_No_More_FOMO_Limiting_Social_Media_Decreases_Loneliness_and_Depression/links/5be5a5cb299bf1124fc63279/No-More-FOMO-Limiting-Social-Media-Decreases-Loneliness-and-Depression.pdf
Hunt,2018,"facebook, instagram, snapchat",3,treatment as usual,8,anxiety,STAI-S (state anxiety subscale),49,42.755,14.502,41.327,15.378,69.000,40.420,9.905,39.246,12.303,computed from raw data,https://www.researchgate.net/profile/Jordyn-Young/publication/328838624_No_More_FOMO_Limiting_Social_Media_Decreases_Loneliness_and_Depression/links/5be5a5cb299bf1124fc63279/No-More-FOMO-Limiting-Social-Media-Decreases-Loneliness-and-Depression.pdf
Hunt,2018,"facebook, instagram, snapchat",4,treatment as usual,8,anxiety,STAI-S (state anxiety subscale),47,42.447,14.538,38.170,14.406,66.000,40.682,10.344,37.561,12.078,computed from raw data,https://www.researchgate.net/profile/Jordyn-Young/publication/328838624_No_More_FOMO_Limiting_Social_Media_Decreases_Loneliness_and_Depression/links/5be5a5cb299bf1124fc63279/No-More-FOMO-Limiting-Social-Media-Decreases-Loneliness-and-Depression.pdf
Thai,2021,broad social media use,3,treatment as usual,9,anxiety,GAD-7,16,8.260,5.800,9.096,5.817,22.000,13.290,5.710,8.540,4.270,"Missing statistics estimated via simulation of various values and averaging the values across 100,000 iterations that produced the same test statistics as what was reported in the table ",https://guilfordjournals.com/doi/pdf/10.1521/jscp.2021.40.6.481?casa_token=hqv9IJlcU-wAAAAA%3AJ_BfyJUH08MKFANqup3wdhDLJAQAtcNnGi0uYzs-sFftmNhlhf4fe-Ry-onNFSeFiIO0Q2RKN5t8
Alcott,2020,facebook,4,treatment as usual,10,anxiety,European Social Survey well-being module (anxious item),1064,2.500,0.940,2.400,0.940,573,2.500,0.940,2.320,0.940,"post-test only - pre-test SDs assumed to be equal to post-test, mid-point of scale will be used as a placeholder for pre-test mean in both treatment and control (this does not effect the effect size); effects flipped so that higher depression/anxiety scores is positive",https://content.lesaffaires.com/LAF/lacom/facebook_quitting.pdf
